ticker,date,open,high,low,close
RENN,2011-05-04,292.5,360.0,270.0,270.15
RENN,2011-05-05,272.55,280.95,232.5,253.05
RENN,2011-05-06,258.45,261.15,241.65,252.0
RENN,2011-05-09,259.8,263.25,238.2,240.45
RENN,2011-05-10,235.2,235.5,217.65,221.25
RENN,2011-05-11,218.25,218.25,195.6,202.35
RENN,2011-05-12,200.85,209.7,188.25,189.0
RENN,2011-05-13,193.5,200.25,180.0,197.4
RENN,2011-05-16,198.75,203.55,184.5,189.0
RENN,2011-05-17,189.0,194.55,185.4,190.95
RENN,2011-05-18,197.7,208.35,196.8,205.5
RENN,2011-05-19,210.0,222.0,205.05,206.25
RENN,2011-05-20,208.2,208.2,194.25,195.0
RENN,2011-05-23,187.2,190.2,184.5,186.0
RENN,2011-05-24,189.9,195.75,183.0,183.9
RENN,2011-05-25,184.05,190.2,183.0,185.25
RENN,2011-05-26,187.35,190.35,183.9,190.35
RENN,2011-05-27,194.55,197.25,192.0,195.0
RENN,2011-05-31,198.9,200.25,189.3,192.75
RENN,2011-06-01,192.75,193.8,184.65,186.0
RENN,2011-06-02,188.85,197.7,186.15,195.15
RENN,2011-06-03,191.25,198.3,189.0,190.35
RENN,2011-06-06,193.5,193.95,181.8,185.1
RENN,2011-06-07,186.0,190.5,181.5,182.55
RENN,2011-06-08,181.95,184.05,156.0,157.65
RENN,2011-06-09,156.3,159.0,136.5,137.55
RENN,2011-06-10,137.25,145.05,132.0,140.25
RENN,2011-06-13,138.75,143.55,118.65,120.0
RENN,2011-06-14,125.55,132.9,123.3,124.05
RENN,2011-06-15,122.1,123.6,111.75,112.8
RENN,2011-06-16,117.75,120.6,101.55,101.7
RENN,2011-06-17,107.4,108.75,98.25,105.45
RENN,2011-06-20,107.55,121.05,104.25,114.0
RENN,2011-06-21,118.35,118.35,106.5,108.15
RENN,2011-06-22,107.85,113.1,102.9,103.2
RENN,2011-06-23,101.25,103.2,96.45,97.95
RENN,2011-06-24,99.9,100.05,91.95,93.45
RENN,2011-06-27,94.35,106.35,92.25,105.0
RENN,2011-06-28,108.6,119.25,103.65,114.0
RENN,2011-06-29,115.5,129.0,114.75,128.55
RENN,2011-06-30,133.65,139.5,130.5,132.75
RENN,2011-07-01,130.35,139.35,123.6,138.75
RENN,2011-07-05,144.75,152.85,140.25,149.1
RENN,2011-07-06,153.0,165.0,151.35,160.5
RENN,2011-07-07,173.7,179.85,167.1,169.95
RENN,2011-07-08,163.35,169.5,157.5,163.65
RENN,2011-07-11,156.45,159.75,147.0,147.6
RENN,2011-07-12,147.45,149.25,138.45,142.8
RENN,2011-07-13,151.65,157.5,150.0,153.75
RENN,2011-07-14,162.45,162.45,146.25,150.3
RENN,2011-07-15,156.75,157.5,148.5,153.9
RENN,2011-07-18,148.65,165.6,146.7,164.25
RENN,2011-07-19,169.8,169.8,155.25,159.45
RENN,2011-07-20,155.7,161.7,154.05,160.05
RENN,2011-07-21,161.85,162.0,151.65,153.45
RENN,2011-07-22,153.0,156.75,151.5,152.4
RENN,2011-07-25,147.0,151.95,146.25,150.3
RENN,2011-07-26,153.75,158.4,150.3,152.85
RENN,2011-07-27,154.65,158.85,151.65,157.2
RENN,2011-07-28,159.0,164.25,156.3,161.7
RENN,2011-07-29,155.1,166.5,150.0,162.45
RENN,2011-08-01,167.25,168.9,152.7,157.35
RENN,2011-08-02,154.05,160.5,153.15,153.75
RENN,2011-08-03,153.75,158.4,130.35,142.95
RENN,2011-08-04,137.7,138.45,117.9,120.75
RENN,2011-08-05,123.75,126.0,109.8,114.3
RENN,2011-08-08,104.85,106.2,99.15,101.25
RENN,2011-08-09,110.1,113.7,102.75,109.95
RENN,2011-08-10,106.8,112.5,102.9,108.6
RENN,2011-08-11,110.4,121.5,109.35,116.7
RENN,2011-08-12,112.2,123.9,109.2,120.6
RENN,2011-08-15,125.25,127.5,120.15,121.5
RENN,2011-08-16,118.8,119.25,111.15,113.55
RENN,2011-08-17,115.2,119.7,108.0,110.85
RENN,2011-08-18,106.2,112.2,101.25,106.2
RENN,2011-08-19,105.0,110.1,103.5,104.55
RENN,2011-08-22,108.3,108.6,99.9,102.0
