Open,High,Low,close,Adj Close,Volume,Volatility,EMA,MACD,STDDEV,AD,NATR,Target
22.528125762939453,22.715858459472656,22.30284309387207,22.715858459472656,13.229564666748047,1680899,17.239999771118164,,,,1680899.0,,22.753406524658203
22.828500747680664,23.053781509399414,22.828500747680664,23.053781509399414,13.426369667053223,3051186,18.190000534057617,,,,4732085.0,,22.227750778198242
23.053781509399414,23.203968048095703,22.978687286376953,23.091327667236328,13.448235511779785,2716271,19.219999313354492,,,,4732085.0,,21.814733505249023
23.091327667236328,23.203968048095703,22.678312301635742,22.866046905517578,13.317031860351562,2724261,20.110000610351562,,,,3953728.950721167,,21.85228157043457
22.866046905517578,22.866046905517578,22.528125762939453,22.866046905517578,13.317031860351562,1662588,20.260000228881836,,,0.13764931855396553,5616316.950721167,,20.08757781982422
22.866046905517578,22.866046905517578,22.640766143798828,22.640766143798828,13.185834884643555,1520766,22.200000762939453,,,0.16105792026256255,4095550.950721167,,19.974937438964844
22.640766143798828,22.678312301635742,22.453031539916992,22.678312301635742,13.207698822021484,1328672,22.440000534057617,,,0.1610579202629155,5424222.950721167,,19.749656677246094
22.678312301635742,22.828500747680664,22.640766143798828,22.753406524658203,13.251429557800293,5436538,20.049999237060547,,,0.09318880376777754,6511508.457035491,,19.148906707763672
22.60321807861328,22.60321807861328,22.00246810913086,22.227750778198242,12.945297241210938,1465834,24.639999389648438,,,0.2168634186538127,6145056.937950891,,18.99871826171875
22.115108489990234,22.115108489990234,21.814733505249023,21.814733505249023,12.704751968383789,1298044,26.34000015258789,,,0.3549324790295375,4847012.937950891,,19.07381248474121
21.814733505249023,21.889827728271484,21.589452743530273,21.85228157043457,12.726625442504883,2266500,24.18000030517578,,,0.39593723595548064,6546898.731973103,,18.735891342163086
21.814733505249023,21.814733505249023,19.974937438964844,20.08757781982422,11.698873519897461,5471161,24.15999984741211,,,0.8959162125911849,1745674.6560449563,,18.7734375
20.050031661987305,20.050031661987305,19.674562454223633,19.974937438964844,11.633270263671875,5879650,24.34000015258789,,,0.9589094426922585,5273452.70881503,,18.022499084472656
19.974937438964844,20.08757781982422,19.712108612060547,19.749656677246094,11.502065658569336,3255597,22.5,,,0.9353316037086548,2668994.9545707675,,18.022499084472656
19.712108612060547,19.712108612060547,19.111358642578125,19.148906707763672,11.15219497680664,2348398,26.700000762939453,,,0.9048718833492331,614156.0246164233,2.549020662496357,18.435516357421875
19.148906707763672,19.336641311645508,18.54815673828125,18.99871826171875,11.064725875854492,2651685,24.719999313354492,,,0.43941073357316845,992960.836683875,2.6821016957903554,18.435516357421875
18.99871826171875,19.07381248474121,18.47306251525879,19.07381248474121,11.108460426330566,2406991,25.389999389648438,,,0.3956522468995754,3399951.836683875,2.705689600054778,18.623249053955078
19.07381248474121,19.07381248474121,18.585702896118164,18.735891342163086,10.911657333374023,1712859,25.6299991607666,,,0.3344834699268989,2741166.0919533055,2.743826787818509,18.735891342163086
18.735891342163086,18.886077880859375,18.585702896118164,18.7734375,10.933526992797852,2403662,26.280000686645508,,,0.16383511558374825,3342085.407701672,2.6570292876069197,18.510608673095703
18.360422134399414,18.360422134399414,17.984952926635742,18.022499084472656,10.8074369430542,1825385,26.440000534057617,,,0.37215023108723577,1881769.989472934,2.8825434347872414,18.623249053955078
18.022499084472656,18.172687530517578,17.947406768798828,18.022499084472656,10.8074369430542,1583021,27.25,,,0.42717768245494503,1354078.4525249526,2.765933000460423,18.623249053955078
18.060047149658203,18.435516357421875,18.060047149658203,18.435516357421875,11.055110931396484,1491136,25.360000610351562,,,0.32818690492048885,2845214.4525249526,2.670850262693551,18.69834327697754
18.435516357421875,18.510608673095703,18.285327911376953,18.435516357421875,11.055110931396484,909530,24.8700008392334,,,0.28555430138944216,3148401.3866214035,2.5673604746112773,18.360422134399414
18.435516357421875,18.660797119140625,18.285327911376953,18.623249053955078,11.167688369750977,1291386,24.31999969482422,,,0.24286796852453008,4181502.3144765655,2.50395516459477,18.172687530517578
18.623249053955078,18.735891342163086,18.435516357421875,18.735891342163086,11.235234260559082,746067,24.540000915527344,,,0.24286796852429604,4927569.314476565,2.4256371874976796,18.285327911376953
18.660797119140625,18.660797119140625,18.322874069213867,18.510608673095703,11.100139617919922,917853,24.690000534057617,20.45727040217473,,0.11633460823535936,5029550.67862605,2.439164599393535,18.47306251525879
18.510608673095703,18.623249053955078,18.24778175354004,18.623249053955078,11.167688369750977,1495131,24.290000915527344,20.321416968973274,,0.10350955124914146,6524681.67862605,2.3952480283594078,18.84853172302246
18.623249053955078,18.810983657836914,18.54815673828125,18.623249053955078,11.167688369750977,1155888,23.770000457763672,20.195626753046,,0.07124063516364341,6029291.520523914,2.324964877868029,18.623249053955078
18.623249053955078,18.69834327697754,18.435516357421875,18.69834327697754,11.212717056274414,658510,23.690000534057617,20.084716865929817,,0.07731416049427114,6687801.520523914,2.2506267867746077,18.54815673828125
18.623249053955078,18.623249053955078,18.360422134399414,18.360422134399414,11.0100736618042,889555,24.3799991607666,19.956991330260898,,0.11777961644557688,5798246.520523914,2.259794811528158,18.69834327697754
18.360422134399414,18.397968292236328,18.022499084472656,18.172687530517578,10.897496223449707,2091719,23.760000228881836,19.82482067842806,,0.19811053284832822,5379911.2211142,2.2676382841232035,18.735891342163086
18.172687530517578,18.322874069213867,18.172687530517578,18.285327911376953,10.965045928955078,1077320,22.049999237060547,19.710784177165017,,0.2006560391130383,5918578.062023002,2.1513607683704548,18.961172103881836
